"";"animal";"Class";"Day";"Rate"
"122";"d1_s42";"across";"Day 1";0,159587779
"123";"d1_s43";"across";"Day 1";0,459939006
"124";"d1_s44";"across";"Day 1";0,119354858
"125";"d1_s45";"across";"Day 1";0,131435659
"126";"d1_s46";"across";"Day 1";0,152304639
"127";"d1_s47";"across";"Day 1";0,044574806
"128";"d1_s48";"across";"Day 1";0,030250877
"129";"d1_s49";"across";"Day 1";0,042327248
"130";"d1_s50";"across";"Day 1";0,104638269
"131";"d1_s51";"across";"Day 1";0,44138666
"132";"d1_s52";"across";"Day 1";0,294650692
"133";"d1_s53";"across";"Day 1";0,357991053
"134";"d1_s54";"across";"Day 1";0,132484334
"135";"d1_s55";"across";"Day 1";0,138993766
"136";"d1_s56";"across";"Day 1";0,140515495
"137";"d1_s57";"across";"Day 1";0,113392828
"138";"d1_s58";"across";"Day 1";0,040036884
"139";"d1_s59";"across";"Day 1";0,098032578
"140";"d1_s60";"across";"Day 1";0,038456621
"141";"d1_s61";"across";"Day 1";0,17807356
"142";"d1_s62";"across";"Day 1";0,348370529
"143";"d1_s63";"across";"Day 1";0,300385108
"144";"d1_s64";"across";"Day 1";0,708953148
"145";"d1_s65";"across";"Day 1";0,061773943
"146";"d1_s66";"across";"Day 1";0,077611914
"147";"d1_s67";"across";"Day 1";0,215700359
"148";"d1_s68";"across";"Day 1";0,071091126
"149";"d1_s69";"across";"Day 1";0,125132729
"150";"d1_s70";"across";"Day 1";0,29131878
"151";"d1_s71";"across";"Day 1";0,06397683
"152";"d1_s72";"across";"Day 1";0,106204952
"153";"d1_s73";"across";"Day 1";0,045036745
"154";"d1_s74";"across";"Day 1";0,113487332
"155";"d1_s75";"across";"Day 1";0,108453258
"156";"d1_s76";"across";"Day 1";0,062499004
"157";"d1_s77";"across";"Day 1";0,303198373
"158";"d1_s78";"across";"Day 1";0,100088144
"159";"d1_s79";"across";"Day 1";0,066978394
"160";"d1_s80";"across";"Day 1";0,289025371
"161";"d2_s1";"within";"Day 2";0,101564513
"162";"d2_s2";"within";"Day 2";0,085299453
"163";"d2_s3";"within";"Day 2";0,291367931
"164";"d2_s4";"within";"Day 2";0,114665234
"165";"d2_s5";"within";"Day 2";0,088082412
"166";"d2_s6";"within";"Day 2";0,139201879
"167";"d2_s7";"within";"Day 2";0,050464143
"168";"d2_s8";"within";"Day 2";0,089339342
"169";"d2_s9";"within";"Day 2";0,134765368
"170";"d2_s10";"within";"Day 2";0,099900838
"171";"d2_s11";"within";"Day 2";0,144013312
"172";"d2_s12";"within";"Day 2";0,171021833
"173";"d2_s13";"within";"Day 2";0,391452895
"174";"d2_s14";"within";"Day 2";0,358625317
"175";"d2_s15";"within";"Day 2";0,135686139
"176";"d2_s16";"within";"Day 2";0,132686086
"177";"d2_s17";"within";"Day 2";0,221768498
"178";"d2_s18";"within";"Day 2";0,220833226
"179";"d2_s19";"within";"Day 2";0,097057449
"180";"d2_s20";"within";"Day 2";0,116999496
"181";"d2_s21";"within";"Day 2";0,07248029
"182";"d2_s22";"within";"Day 2";0,041398817
"183";"d2_s23";"within";"Day 2";0,029892514
"184";"d2_s24";"within";"Day 2";0,12506874
"185";"d2_s25";"within";"Day 2";0,038123725
"186";"d2_s26";"within";"Day 2";0,092003205
"187";"d2_s27";"within";"Day 2";0,310865437
"188";"d2_s28";"within";"Day 2";0,052659802
"189";"d2_s29";"within";"Day 2";0,102486895
"190";"d2_s30";"within";"Day 2";0,235394216
"191";"d2_s31";"within";"Day 2";0,066329003
"192";"d2_s32";"within";"Day 2";0,051541534
"193";"d2_s33";"within";"Day 2";0,159272878
"194";"d2_s34";"within";"Day 2";0,035664139
"195";"d2_s35";"within";"Day 2";0,127647639
"196";"d2_s36";"within";"Day 2";0,239847814
"197";"d2_s37";"within";"Day 2";0,179994144
"198";"d2_s38";"within";"Day 2";0,21640651
"199";"d2_s39";"within";"Day 2";0,363072031
"200";"d2_s40";"within";"Day 2";0,327937484
"201";"d2_s41";"within";"Day 2";0,153923288
"202";"d2_s42";"within";"Day 2";0,744637993
"203";"d2_s43";"within";"Day 2";0,49788717
"204";"d2_s44";"within";"Day 2";1,384586004
"205";"d2_s45";"within";"Day 2";0,454047592
"206";"d2_s46";"within";"Day 2";0,943025685
"207";"d2_s47";"within";"Day 2";0,222315984
"208";"d2_s48";"within";"Day 2";0,142520871
"209";"d2_s49";"within";"Day 2";0,134261417
"210";"d2_s50";"within";"Day 2";0,114620606
"211";"d2_s51";"within";"Day 2";0,127246735
"212";"d2_s52";"within";"Day 2";0,099944653
"213";"d2_s53";"within";"Day 2";0,267721259
"214";"d2_s54";"within";"Day 2";0,052058269
"215";"d2_s55";"within";"Day 2";0,081070363
"216";"d2_s56";"within";"Day 2";0,03334212
"217";"d2_s57";"within";"Day 2";0,1419233
"218";"d2_s58";"within";"Day 2";0,06600716
"219";"d2_s59";"within";"Day 2";0,315934497
"220";"d2_s60";"within";"Day 2";0,271505376
"221";"d2_s61";"within";"Day 2";0,239848589
"222";"d2_s62";"within";"Day 2";0,188424991
"223";"d2_s63";"within";"Day 2";0,025858165
"224";"d2_s64";"within";"Day 2";0,091896244
"225";"d2_s65";"within";"Day 2";0,033498832
"226";"d2_s66";"within";"Day 2";0,147392469
"227";"d2_s67";"within";"Day 2";0,055045299
"228";"d2_s68";"within";"Day 2";0,220736245
