"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"68";"CMG129_CA1_TA1_TB7";"within";"3";"FI";"C_4";"4";21;123;0,170731707317073;"CMG129_CA1";1;7;1;1;1;0,317;0,309;0,203;0,171
"69";"CMG129_CA1_TA1_TB7";"within";"3";"FS";"C_4";"1";0;8;0;"CMG129_CA1";1;7;1;1;0;0,375;0,375;0,25;0
"70";"CMG129_CA1_TA1_TB7";"within";"3";"FS";"C_3";"2";2;8;0,25;"CMG129_CA1";1;7;1;1;0;0,375;0,375;0,25;0
"71";"CMG129_CA1_TA1_TB7";"within";"3";"FS";"C_1";"3";3;8;0,375;"CMG129_CA1";1;7;1;1;0;0,375;0,375;0,25;0
"72";"CMG129_CA1_TA1_TB7";"within";"3";"FS";"C_2";"4";3;8;0,375;"CMG129_CA1";1;7;1;1;0;0,375;0,375;0,25;0
"73";"CMG129_CA1_TA1_TB8";"across";"3";"FI";"C_1";"1";41;123;0,333333333333333;"CMG129_CA1";1;8;1;2;0;0,333;0,252;0,211;0,203
"74";"CMG129_CA1_TA1_TB8";"across";"3";"FI";"C_4";"2";25;123;0,203252032520325;"CMG129_CA1";1;8;1;2;0;0,333;0,252;0,211;0,203
"75";"CMG129_CA1_TA1_TB8";"across";"3";"FI";"C_2";"3";31;123;0,252032520325203;"CMG129_CA1";1;8;1;2;0;0,333;0,252;0,211;0,203
"76";"CMG129_CA1_TA1_TB8";"across";"3";"FI";"C_3";"4";26;123;0,211382113821138;"CMG129_CA1";1;8;1;2;0;0,333;0,252;0,211;0,203
"77";"CMG129_CA1_TA1_TB8";"across";"3";"FS";"C_2";"1";2;8;0,25;"CMG129_CA1";1;8;1;2;0;0,5;0,25;0,25;0
"78";"CMG129_CA1_TA1_TB8";"across";"3";"FS";"C_4";"2";0;8;0;"CMG129_CA1";1;8;1;2;0;0,5;0,25;0,25;0
"79";"CMG129_CA1_TA1_TB8";"across";"3";"FS";"C_1";"3";4;8;0,5;"CMG129_CA1";1;8;1;2;0;0,5;0,25;0,25;0
"80";"CMG129_CA1_TA1_TB8";"across";"3";"FS";"C_3";"4";2;8;0,25;"CMG129_CA1";1;8;1;2;0;0,5;0,25;0,25;0
"81";"CMG129_CA1_TA1_TB9";"within";"3";"FI";"C_1";"1";41;121;0,338842975206612;"CMG129_CA1";1;9;1;1;0;0,339;0,223;0,223;0,215
"82";"CMG129_CA1_TA1_TB9";"within";"3";"FI";"C_4";"2";26;121;0,214876033057851;"CMG129_CA1";1;9;1;1;0;0,339;0,223;0,223;0,215
"83";"CMG129_CA1_TA1_TB9";"within";"3";"FI";"C_2";"3";27;121;0,223140495867769;"CMG129_CA1";1;9;1;1;0;0,339;0,223;0,223;0,215
"84";"CMG129_CA1_TA1_TB9";"within";"3";"FI";"C_3";"4";27;121;0,223140495867769;"CMG129_CA1";1;9;1;1;0;0,339;0,223;0,223;0,215
"85";"CMG129_CA1_TA1_TB9";"within";"3";"FS";"C_1";"1";5;8;0,625;"CMG129_CA1";1;9;1;1;1;0,625;0,375;0;0
"86";"CMG129_CA1_TA1_TB9";"within";"3";"FS";"C_3";"2";0;8;0;"CMG129_CA1";1;9;1;1;1;0,625;0,375;0;0
"87";"CMG129_CA1_TA1_TB9";"within";"3";"FS";"C_4";"3";0;8;0;"CMG129_CA1";1;9;1;1;1;0,625;0,375;0;0
"88";"CMG129_CA1_TA1_TB9";"within";"3";"FS";"C_2";"4";3;8;0,375;"CMG129_CA1";1;9;1;1;1;0,625;0,375;0;0
"89";"CMG129_CA1_TA10_TB11";"across";"1";"FI";"C_3";"1";38;169;0,224852071005917;"CMG129_CA1";10;11;2;1;1;0,331;0,237;0,225;0,207
"90";"CMG129_CA1_TA10_TB11";"across";"1";"FI";"C_4";"2";35;169;0,207100591715976;"CMG129_CA1";10;11;2;1;1;0,331;0,237;0,225;0,207
"91";"CMG129_CA1_TA10_TB11";"across";"1";"FI";"C_1";"3";56;169;0,331360946745562;"CMG129_CA1";10;11;2;1;1;0,331;0,237;0,225;0,207
"92";"CMG129_CA1_TA10_TB11";"across";"1";"FI";"C_2";"4";40;169;0,236686390532544;"CMG129_CA1";10;11;2;1;1;0,331;0,237;0,225;0,207
"93";"CMG129_CA1_TA10_TB11";"across";"1";"FS";"C_2";"1";6;22;0,272727272727273;"CMG129_CA1";10;11;2;1;0;0,409;0,273;0,182;0,136
"94";"CMG129_CA1_TA10_TB11";"across";"1";"FS";"C_4";"2";3;22;0,136363636363636;"CMG129_CA1";10;11;2;1;0;0,409;0,273;0,182;0,136
"95";"CMG129_CA1_TA10_TB11";"across";"1";"FS";"C_3";"3";4;22;0,181818181818182;"CMG129_CA1";10;11;2;1;0;0,409;0,273;0,182;0,136
"96";"CMG129_CA1_TA10_TB11";"across";"1";"FS";"C_1";"4";9;22;0,409090909090909;"CMG129_CA1";10;11;2;1;0;0,409;0,273;0,182;0,136
"97";"CMG129_CA1_TA10_TB11";"across";"2";"FI";"C_2";"1";35;155;0,225806451612903;"CMG129_CA1";10;11;2;1;1;0,458;0,226;0,161;0,155
"98";"CMG129_CA1_TA10_TB11";"across";"2";"FI";"C_4";"2";24;155;0,154838709677419;"CMG129_CA1";10;11;2;1;1;0,458;0,226;0,161;0,155
"99";"CMG129_CA1_TA10_TB11";"across";"2";"FI";"C_1";"3";71;155;0,458064516129032;"CMG129_CA1";10;11;2;1;1;0,458;0,226;0,161;0,155
