"";"Id";"Score";"Decile"
"441";"4";0,621031887;"4"
"442";"5";0,567816302;"4"
"443";"6";0,539957845;"4"
"444";"7";0,521325951;"4"
"445";"8";0,812386069;"4"
"446";"9";0,409451979;"4"
"447";"10";0,620339633;"4"
"448";"11";0,735328313;"4"
"449";"12";0,768877064;"4"
"450";"13";0,786398093;"4"
"451";"14";0,893840771;"4"
"452";"15";0,789242418;"4"
"453";"16";0,862655711;"4"
"454";"17";0,62914165;"4"
"455";"18";0,601761409;"4"
"456";"19";0,783430618;"4"
"457";"20";0,647692899;"4"
"458";"21";0,697727425;"4"
"459";"22";0,895125495;"4"
"460";"23";0,467297191;"4"
"461";"24";0,408956657;"4"
"462";"25";0,674974965;"4"
"463";"26";0,409451979;"4"
"464";"27";0,598440215;"4"
"465";"28";0,630109696;"4"
"466";"29";0,424369337;"4"
"467";"30";0,584222652;"4"
"468";"31";0,492205648;"4"
"469";"32";0,501982773;"4"
"470";"33";0,736990021;"4"
"471";"34";0,847893551;"4"
"472";"35";0,818205888;"4"
"473";"36";0,975810611;"4"
"474";"37";0,768932284;"4"
"475";"38";0,752068537;"4"
"476";"39";0,677410304;"4"
"477";"40";0,548522415;"4"
"478";"41";0,911483404;"4"
"479";"42";0,587685815;"4"
"480";"43";0,702339101;"4"
"481";"44";0,954977472;"4"
"482";"45";0,965578168;"4"
"483";"46";0,55418549;"4"
"484";"47";0,680808607;"4"
"485";"48";0,782709417;"4"
"486";"49";0,749427475;"4"
"487";"50";0,860225601;"4"
"488";"51";0,954977472;"4"
"489";"52";0,636584395;"4"
"490";"53";0,808018689;"4"
"491";"54";0,837950662;"4"
"492";"55";0,668387345;"4"
"493";"56";0,789318693;"4"
"494";"57";0,787756859;"4"
"495";"58";0,835126021;"4"
"496";"59";0,630817854;"4"
"497";"60";0,749427475;"4"
"498";"61";0,882502155;"4"
"499";"62";0,975810611;"4"
"500";"63";0,656853623;"4"
"501";"64";0,596232944;"4"
"502";"65";0,869643073;"4"
"503";"66";0,732125434;"4"
"504";"67";0,877609327;"4"
"505";"68";0,911483404;"4"
"506";"69";0,618250864;"4"
"507";"70";0,372955319;"4"
"508";"71";0,488751618;"4"
"509";"72";0,568665392;"4"
"510";"73";0,651568932;"4"
"511";"74";0,776081858;"4"
"512";"75";0,828740367;"4"
"513";"76";0,573657308;"4"
"514";"77";0,628824111;"4"
"515";"78";0,551941884;"4"
"516";"79";0,651568932;"4"
"517";"80";0,77856065;"4"
"518";"81";0,803229385;"4"
"519";"82";0,486542084;"4"
"520";"83";0,738565923;"4"
"521";"84";0,395347914;"4"
"522";"85";0,462952013;"4"
"523";"86";0,552809201;"4"
"524";"87";0,446382792;"4"
"525";"88";0,84138917;"4"
"526";"89";0,836800588;"4"
"527";"90";0,513273399;"4"
"528";"91";0,516866489;"4"
"529";"92";0,390634268;"4"
"530";"93";0,360462542;"4"
"531";"94";0,894437338;"4"
"532";"95";0,763559172;"4"
"533";"96";0,733495577;"4"
"534";"97";0,555173291;"4"
"535";"98";0,555809005;"4"
"536";"99";0,747347025;"4"
"537";"100";0,567004539;"4"
"538";"101";0,628353599;"4"
"539";"102";0,508930757;"4"
"540";"103";0,254138161;"4"
"541";"104";0,541719538;"4"
"542";"105";0,898186702;"4"
"543";"106";0,39802055;"4"
"544";"107";0,531413187;"4"
"545";"108";0,254138161;"4"
"546";"109";0,477152966;"4"
"547";"110";0,751521156;"4"
"548";"111";0,360462542;"4"
"549";"112";0,45431283;"4"
"550";"113";0,452100207;"4"
"551";"114";0,642018277;"4"
"552";"115";0,751052261;"4"
"553";"116";0,668799242;"4"
"554";"117";0,808340197;"4"
"555";"118";0,779936968;"4"
"556";"119";0,463198642;"4"
"557";"120";0,834532802;"4"
"558";"121";0,834181978;"4"
"559";"122";0,336024669;"4"
"560";"123";0,922970384;"4"
"561";"124";0,904467727;"4"
"562";"125";0,834181978;"4"
"563";"126";0,751052261;"4"
"564";"127";0,788158547;"4"
"565";"128";0,834443205;"4"
"566";"129";0,759109653;"4"
"567";"130";0,738373268;"4"
"568";"131";0,559133781;"4"
"569";"132";0,811605623;"4"
"570";"133";0,668799242;"4"
"571";"134";0,552490608;"4"
"572";"135";0,32254341;"4"
"573";"136";0,636879661;"4"
"574";"137";0,855187371;"4"
"575";"138";0,833848888;"4"
"576";"139";0,707816982;"4"
"577";"140";0,569494952;"4"
"578";"1";0,648232742;"5"
"579";"2";0,898644695;"5"
"580";"3";0,551998274;"5"
"581";"4";0,537931097;"5"
"582";"5";0,695665107;"5"
"583";"6";0,712543171;"5"
"584";"7";0,571278146;"5"
"585";"8";0,668878483;"5"
"586";"9";0,861909091;"5"
"587";"10";0,409451979;"5"
"588";"11";0,615482085;"5"
"589";"12";0,555980521;"5"
"590";"13";0,523243789;"5"
"591";"14";0,436636169;"5"
"592";"15";0,743486046;"5"
"593";"16";0,537931097;"5"
"594";"17";0,54361582;"5"
"595";"18";0,697727425;"5"
"596";"19";0,765381835;"5"
"597";"20";0,695174324;"5"
"598";"21";0,904528321;"5"
"599";"22";0,878863562;"5"
"600";"23";0,751245895;"5"
"601";"24";0,715554432;"5"
"602";"25";0,811050655;"5"
"603";"26";0,65114815;"5"
"604";"27";0,834436761;"5"
"605";"28";0,487998728;"5"
"606";"29";0,857178484;"5"
"607";"30";0,777033561;"5"
"608";"31";0,798980914;"5"
"609";"32";0,687442468;"5"
"610";"33";0,636584395;"5"
"611";"34";0,92870452;"5"
"612";"35";0,803111554;"5"
"613";"36";0,487998728;"5"
"614";"37";0,743773437;"5"
"615";"38";0,847093867;"5"
"616";"39";0,777759778;"5"
"617";"40";0,811050655;"5"
"618";"41";0,798744258;"5"
"619";"42";0,576706294;"5"
"620";"43";0,975810611;"5"
"621";"44";0,777033561;"5"
"622";"45";0,935209378;"5"
"623";"46";0,795529915;"5"
"624";"47";0,962840658;"5"
"625";"48";0,831932608;"5"
"626";"49";0,965578168;"5"
"627";"50";0,785673694;"5"
"628";"51";0,373533026;"5"
"629";"52";0,923582313;"5"
"630";"53";0,796550425;"5"
"631";"54";0,860225601;"5"
"632";"55";0,806294901;"5"
"633";"56";0,546386924;"5"
"634";"57";0,719731047;"5"
"635";"58";0,752705761;"5"
"636";"59";0,689567721;"5"
"637";"60";0,646837798;"5"
"638";"61";0,847893551;"5"
"639";"62";0,738671902;"5"
"640";"63";0,790577894;"5"
"641";"64";0,788379773;"5"
"642";"65";0,755643623;"5"
"643";"66";0,831932608;"5"
"644";"67";0,473896128;"5"
"645";"68";0,576706294;"5"
"646";"69";0,811050655;"5"
"647";"70";0,650990755;"5"
"648";"71";0,540015227;"5"
"649";"72";0,551941884;"5"
"650";"73";0,765096589;"5"
"651";"74";0,568665392;"5"
"652";"75";0,447562952;"5"
"653";"76";0,763506823;"5"
"654";"77";0,555173291;"5"
"655";"78";0,491905921;"5"
"656";"79";0,859812899;"5"
"657";"80";0,71904557;"5"
"658";"81";0,896935285;"5"
"659";"82";0,770505729;"5"
"660";"83";0,552809201;"5"
"661";"84";0,403721519;"5"
"662";"85";0,562407027;"5"
"663";"86";0,877653448;"5"
"664";"87";0,432811338;"5"
"665";"88";0,885726791;"5"
"666";"89";0,462952013;"5"
"667";"90";0,674904407;"5"
"668";"91";0,458586679;"5"
"669";"92";0,261569373;"5"
"670";"93";0,39802055;"5"
"671";"94";0,853093188;"5"
"672";"95";0,870949974;"5"
"673";"96";0,757641176;"5"
"674";"97";0,500713103;"5"
"675";"98";0,682529207;"5"
"676";"99";0,610619753;"5"
"677";"100";0,678206611;"5"
"678";"101";0,484401079;"5"
"679";"102";0,590826955;"5"
"680";"103";0,922970384;"5"
"681";"104";0,603731393;"5"
"682";"105";0,319638433;"5"
"683";"106";0,834181978;"5"
"684";"107";0,833848888;"5"
"685";"108";0,739883314;"5"
"686";"109";0,712505333;"5"
"687";"110";0,728693125;"5"
"688";"111";0,796894398;"5"
"689";"112";0,796324585;"5"
"690";"113";0,833940104;"5"
"691";"114";0,560076735;"5"
"692";"115";0,549029731;"5"
"693";"116";0,808340197;"5"
"694";"117";0,370813259;"5"
"695";"118";0,656138294;"5"
"696";"119";0,922970384;"5"
"697";"120";0,745034869;"5"
"698";"121";0,892079354;"5"
"699";"122";0,55170318;"5"
"700";"123";0,833848888;"5"
"701";"124";0,590826955;"5"
"702";"125";0,590826955;"5"
"703";"126";0,904988832;"5"
"704";"127";0,725852544;"5"
"705";"128";0,560076735;"5"
"706";"129";0,75120382;"5"
"707";"1";0,400878444;"6"
"708";"2";0,245152611;"6"
"709";"3";0,722847393;"6"
"710";"4";0,54361582;"6"
"711";"5";0,665257924;"6"
"712";"6";0,862388965;"6"
"713";"7";0,515959801;"6"
"714";"8";0,260284335;"6"
"715";"9";0,760506992;"6"
"716";"10";0,89342472;"6"
"717";"11";0,504297457;"6"
"718";"12";0,665257924;"6"
"719";"13";0,760506992;"6"
"720";"14";0,726572718;"6"
"721";"15";0,703620772;"6"
"722";"16";0,83296786;"6"
"723";"17";0,883488914;"6"
"724";"18";0,574616315;"6"
"725";"19";0,570061255;"6"
"726";"20";0,893843719;"6"
"727";"21";0,665257924;"6"
"728";"22";0,648226092;"6"
"729";"23";0,714920805;"6"
"730";"24";0,601761409;"6"
"731";"25";0,629293544;"6"
"732";"26";0,623866896;"6"
"733";"27";0,712543171;"6"
"734";"28";0,747147455;"6"
"735";"29";0,826905751;"6"
"736";"30";0,878863562;"6"
"737";"31";0,668387345;"6"
"738";"32";0,373533026;"6"
"739";"33";0,655736978;"6"
"740";"34";0,893633467;"6"
"741";"35";0,71022875;"6"
"742";"36";0,723241211;"6"
"743";"37";0,776052132;"6"
"744";"38";0,617314646;"6"
"745";"39";0,630817854;"6"
"746";"40";0,602656092;"6"
"747";"41";0,630739148;"6"
"748";"42";0,878863562;"6"
"749";"43";0,434549939;"6"
"750";"44";0,951621221;"6"
"751";"45";0,688444877;"6"
"752";"46";0,769964965;"6"
"753";"47";0,663869687;"6"
"754";"48";0,706338975;"6"
"755";"49";0,714638724;"6"
"756";"50";0,860225601;"6"
"757";"51";0,722104416;"6"
"758";"52";0,546386924;"6"
"759";"53";0,894771672;"6"
"760";"54";0,965578168;"6"
