"";"CellType";"Day";"Corr"
"708";"FI";"Day 2";0,778342726
"709";"FI";"Day 2";0,753313292
"710";"FI";"Day 2";0,724258661
"711";"FI";"Day 2";0,691203615
"712";"FI";"Day 2";0,651078668
"713";"FI";"Day 2";0,6048601
"714";"FI";"Day 2";0,59198237
"715";"FI";"Day 2";0,634499722
"716";"FI";"Day 2";0,672073702
"717";"FI";"Day 2";0,70561146
"718";"FI";"Day 2";0,735004708
"719";"FI";"Day 2";0,759971778
"720";"FI";"Day 2";0,781279404
"721";"FI";"Day 2";0,799979922
"722";"FI";"Day 2";0,815780835
"723";"FI";"Day 2";0,825068786
"724";"FI";"Day 2";0,82588964
"725";"FI";"Day 2";0,820022503
"726";"FI";"Day 2";0,812690606
"727";"FI";"Day 2";0,809794365
"728";"FI";"Day 2";0,812237847
"729";"FI";"Day 2";0,819010394
"730";"FI";"Day 2";0,827015218
"731";"FI";"Day 2";0,834334267
"732";"FI";"Day 2";0,839380121
"733";"FI";"Day 2";0,842692263
